pm25,pm10,so2,no2,co,纬度,经度, 
28.55,43.16,8.16,13.88,0.57,21.89,110.41, 
28.1,42.9,8.41,13.92,0.55,21.88,110.55, 
27.58,41.88,8.39,13.28,0.53,21.87,110.7, 
27.64,41.12,7.69,11.9,0.5,21.87,110.84, 
29.04,41.72,6.66,10.39,0.48,21.86,110.99, 
31.87,44.16,6.2,10.04,0.47,21.85,111.13, 
36.22,48.53,6.26,10.91,0.49,21.84,111.27, 
40.26,53.12,6.36,12.56,0.51,21.84,111.42, 
39.99,52.64,6.51,14.44,0.51,21.83,111.56, 
37.84,48.74,6.54,13.88,0.47,21.82,111.7, 
36.55,46.42,6.44,12.81,0.43,21.81,111.85, 
34.51,43.56,6.72,11.37,0.39,21.8,111.99, 
30.19,39.32,6.25,9.82,0.34,21.78,112.28, 
25.76,35.75,5.65,9.5,0.31,21.77,112.57, 
24.16,33.35,5.94,7.13,0.29,21.75,112.85, 
22.62,33.66,6.31,7.01,0.3,22.04,100.02, 
23.21,38.55,6.35,11.61,0.36,22.05,100.16, 
23.97,42.2,6,13.48,0.4,22.05,100.3, 
24.13,43.92,5.86,14.12,0.42,22.06,100.45, 
23.94,43.74,5.9,13.56,0.41,22.07,100.59, 
24.26,46.82,7.31,23.93,0.48,22.07,100.74, 
23.83,46.23,8.31,30.36,0.5,22.08,100.88, 
21.72,37.73,6.16,14.77,0.39,22.08,101.03, 
20.84,32.73,5.31,7.51,0.33,22.09,101.17, 
21.03,32.09,5.38,7.42,0.32,22.09,101.31, 
21.82,31.28,5.89,6.66,0.3,22.1,101.46, 
49.31,72.11,15.59,12.74,0.65,22.14,106.81, 
43.01,67.09,13.05,14.7,0.7,22.13,106.95, 
39.79,64.54,11.45,15.57,0.71,22.13,107.1, 
36.05,58.89,8.96,14.69,0.7,22.13,107.24, 
33.61,54.34,7.83,14.6,0.69,22.12,107.39, 
31.19,49.78,7.44,15.03,0.69,22.12,107.53, 
29.54,47.2,7.65,15.53,0.7,22.12,107.67, 
29.96,47.35,7.96,16.04,0.74,22.12,107.82, 
32.32,49.09,7.91,15.97,0.77,22.11,107.96, 
34.31,50.68,7.67,16.97,0.81,22.11,108.11, 
32.67,48.42,7.61,16.07,0.83,22.1,108.25, 
29.35,43.58,7.47,14.31,0.81,22.1,108.4, 
26.95,40.25,7.67,13.94,0.81,22.1,108.54, 
25.91,38.55,7.65,13.57,0.81,22.09,108.69, 
24.73,36.53,7.33,13.03,0.79,22.09,108.83, 
22.89,33.75,6.79,12.2,0.73,22.08,108.97, 
22.68,32.81,6.41,11.43,0.67,22.08,109.12, 
23.95,33.68,6.36,11.03,0.63,22.07,109.26, 
24.96,34.91,6.58,11.13,0.62,22.07,109.41, 
25.81,36.09,6.88,11.15,0.61,22.06,109.55, 
27.11,37.88,7.37,11.79,0.62,22.05,109.7, 
28.15,39.39,7.62,12.13,0.62,22.05,109.84, 
28.31,39.98,7.32,12.06,0.6,22.04,109.98, 
28.45,40.44,6.98,11.98,0.58,22.04,110.13, 
28.13,40.6,6.87,12.22,0.55,22.03,110.27, 
