pm25,pm10,so2,no2,co,纬度,经度, 
279.39,280.02,1.59,0.65,0.2,38.85,81.63, 
282.7,283.32,1.56,0.63,0.19,38.88,81.79, 
289.52,290.11,1.53,0.61,0.19,38.91,81.96, 
298.54,299.11,1.49,0.6,0.19,38.94,82.13, 
311.04,311.6,1.44,0.58,0.19,38.97,82.3, 
321.39,321.93,1.39,0.56,0.19,39,82.47, 
325.25,325.76,1.34,0.53,0.18,39.03,82.64, 
322.75,323.24,1.3,0.5,0.18,39.06,82.81, 
312.56,313.03,1.27,0.49,0.18,39.08,82.98, 
296.94,297.39,1.25,0.49,0.18,39.11,83.16, 
277.98,278.43,1.25,0.51,0.18,39.14,83.33, 
260.84,261.28,1.25,0.56,0.18,39.17,83.5, 
248.92,249.35,1.24,0.59,0.18,39.19,83.67, 
238.8,239.21,1.21,0.55,0.18,39.22,83.84, 
226.45,226.85,1.19,0.52,0.18,39.25,84.01, 
209.77,210.17,1.17,0.49,0.18,39.27,84.18, 
190,190.4,1.15,0.46,0.18,39.3,84.35, 
162.52,162.91,1.13,0.43,0.18,39.33,84.52, 
131.92,132.3,1.1,0.39,0.18,39.35,84.7, 
109.87,110.24,1.07,0.36,0.18,39.38,84.87, 
92.86,93.23,1.06,0.34,0.18,39.4,85.04, 
69.57,69.94,1.09,0.35,0.18,39.43,85.21, 
50.33,50.69,1.12,0.37,0.18,39.45,85.38, 
39.33,39.68,1.12,0.37,0.17,39.48,85.55, 
31.91,32.25,1.11,0.37,0.17,39.5,85.73, 
26.69,27.02,1.1,0.37,0.17,39.53,85.9, 
22.48,22.81,1.09,0.37,0.17,39.55,86.07, 
19.39,19.71,1.09,0.38,0.17,39.57,86.24, 
17.25,17.56,1.1,0.39,0.17,39.6,86.42, 
15.8,16.11,1.12,0.4,0.17,39.62,86.59, 
15.16,15.46,1.11,0.4,0.17,39.64,86.76, 
14.66,14.96,1.1,0.39,0.17,39.67,86.93, 
13.2,13.49,1.1,0.39,0.17,39.69,87.11, 
11.75,12.03,1.09,0.4,0.17,39.71,87.28, 
10.38,10.64,1.08,0.41,0.17,39.73,87.45, 
8.94,9.18,1.06,0.41,0.17,39.76,87.63, 
8.04,8.26,1.03,0.42,0.17,39.78,87.8, 
8.15,8.38,1.04,0.43,0.17,39.8,87.97, 
8.52,8.74,1.05,0.46,0.17,39.82,88.15, 
9.15,9.37,1.07,0.58,0.17,39.84,88.32, 
9.98,10.21,1.1,0.6,0.17,39.86,88.49, 
10.82,11.05,1.12,0.56,0.17,39.88,88.67, 
11.57,11.8,1.15,0.53,0.17,39.9,88.84, 
11.65,11.88,1.16,0.5,0.17,39.92,89.02, 
11.07,11.31,1.16,0.47,0.17,39.94,89.19, 
10.58,10.82,1.14,0.43,0.17,39.96,89.36, 
10.66,10.9,1.13,0.41,0.17,39.98,89.54, 
10.67,10.91,1.12,0.38,0.17,40,89.71, 
10.68,10.92,1.12,0.36,0.17,40.02,89.89, 
10.72,10.95,1.1,0.34,0.17,40.04,90.06, 
10.95,11.18,1.07,0.31,0.17,40.06,90.24, 
11.13,11.35,1.04,0.28,0.17,40.08,90.41, 
11.43,11.64,1,0.26,0.17,40.1,90.58, 
11.72,11.92,0.97,0.25,0.17,40.12,90.76, 
11.8,11.99,0.95,0.24,0.16,40.13,90.93, 
11.83,12.01,0.94,0.24,0.16,40.15,91.11, 
11.85,12.03,0.93,0.25,0.16,40.17,91.28, 
11.8,11.97,0.92,0.25,0.16,40.19,91.46, 
11.85,12.02,0.91,0.24,0.16,40.2,91.63, 
11.95,12.12,0.89,0.23,0.16,40.22,91.81, 
12.11,12.27,0.89,0.23,0.16,40.24,91.98, 
12.23,12.38,0.88,0.23,0.16,40.25,92.16, 
12.39,12.54,0.87,0.23,0.16,40.27,92.34, 
12.85,13.01,0.86,0.23,0.16,40.28,92.51, 
13.32,13.48,0.85,0.23,0.16,40.3,92.69, 
13.75,13.91,0.84,0.27,0.16,40.32,92.86, 
13.99,14.15,0.85,0.33,0.16,40.33,93.04, 
13.06,13.23,0.86,0.4,0.16,40.35,93.21, 
12.04,12.2,0.86,0.46,0.16,40.36,93.39, 
11.47,11.64,0.87,0.5,0.16,40.38,93.57, 
10.85,11.02,0.87,0.43,0.16,40.39,93.74, 
10.72,10.9,0.88,0.39,0.16,40.4,93.92, 
10.63,10.81,0.88,0.33,0.16,40.42,94.09, 
10.63,10.82,0.89,0.34,0.16,40.43,94.27, 
10.61,10.82,0.92,0.38,0.16,40.45,94.45, 
10.48,10.71,0.93,0.43,0.16,40.46,94.62, 
10.02,10.24,0.9,0.55,0.16,40.47,94.8, 
9.37,9.59,0.89,0.61,0.16,40.48,94.97, 
8.28,8.52,0.88,0.69,0.16,40.5,95.15, 
7.19,7.42,0.86,0.69,0.16,40.51,95.33, 
6.61,6.87,0.91,0.81,0.16,40.52,95.5, 
6.33,6.66,1.07,1.06,0.16,40.53,95.68, 
6.11,6.53,1.36,1.45,0.17,40.54,95.86, 
5.37,5.76,1.24,1.33,0.17,40.56,96.03, 
4.79,5.18,1.12,1.31,0.17,40.57,96.21, 
4.15,4.42,1.02,1.27,0.17,40.58,96.39, 
3.96,4.18,0.97,1.25,0.17,40.59,96.56, 
3.92,4.06,0.94,1.2,0.16,40.6,96.74, 
3.87,4,0.92,1.15,0.16,40.61,96.92, 
3.72,3.92,0.89,1,0.16,40.62,97.09, 
3.64,3.87,0.87,0.93,0.16,40.63,97.27, 
3.57,3.86,0.86,0.89,0.16,40.64,97.45, 
3.6,3.97,0.87,0.87,0.16,40.65,97.63, 
3.78,4.36,0.9,0.86,0.17,40.66,97.8, 
4,4.78,0.96,0.88,0.17,40.67,97.98, 
4.36,5.23,1.12,1.11,0.17,40.68,98.16, 
4.95,5.75,1.38,1.54,0.17,40.68,98.33, 
5.72,6.48,1.74,2.1,0.18,40.69,98.51, 
6.08,6.69,1.95,2.4,0.18,40.7,98.69, 
6.22,6.67,2.11,2.47,0.18,40.71,98.87, 
6.12,6.47,2.18,2.36,0.18,40.72,99.04, 
5.99,6.35,2.27,2.31,0.18,40.72,99.22, 
5.88,6.35,2.38,2.35,0.18,40.73,99.4, 
5.78,6.41,2.48,2.34,0.18,40.74,99.58, 
5.8,6.57,2.56,2.36,0.18,40.75,99.75, 
5.97,6.85,2.68,2.41,0.18,40.75,99.93, 
6.3,7.22,3.06,2.57,0.18,40.76,100.11, 
9.06,9.97,2.98,2.45,0.18,40.76,100.29, 
10.1,10.92,2.89,2.32,0.18,40.77,100.46, 
11.25,12.01,2.83,2.19,0.17,40.78,100.64, 
12.13,12.88,2.79,2.15,0.17,40.78,100.82, 
12.64,13.4,2.74,2.11,0.17,40.79,101, 
12.41,13.16,2.7,2.07,0.17,40.79,101.18, 
12.63,13.38,2.65,2.07,0.18,40.8,101.35, 
12.19,12.94,2.63,2.06,0.18,40.8,101.53, 
11.66,12.37,2.61,1.99,0.18,40.8,101.71, 
10.96,11.66,2.62,1.92,0.17,40.81,101.89, 
10.52,11.23,2.69,1.87,0.18,40.81,102.06, 
10.62,11.37,2.77,1.83,0.18,40.82,102.24, 
11.11,11.94,2.9,1.84,0.18,40.82,102.42, 
11.58,12.48,3.01,1.84,0.18,40.82,102.6, 
11.74,12.69,3.05,1.82,0.18,40.83,102.78, 
11.75,12.72,3.05,1.77,0.19,40.83,102.95, 
11.64,12.62,3.02,1.72,0.19,40.83,103.13, 
11.44,12.41,2.98,1.66,0.19,40.83,103.31, 
11.11,12.06,2.91,1.61,0.19,40.84,103.49, 
10.68,11.6,2.83,1.58,0.18,40.84,103.67, 
10.26,11.16,2.78,1.55,0.18,40.84,103.84, 
9.95,10.83,2.78,1.54,0.18,40.84,104.02, 
9.55,10.41,2.78,1.54,0.18,40.84,104.2, 
9.41,10.28,2.86,1.57,0.18,40.84,104.38, 
9.31,10.19,2.96,1.62,0.18,40.84,104.56, 
9.36,10.54,3.07,1.67,0.18,40.84,104.73, 
9.36,10.64,3.23,1.75,0.18,40.84,104.91, 
9.34,10.74,3.47,1.92,0.19,40.84,105.09, 
9.49,11.18,3.81,2.2,0.19,40.84,105.27, 
9.88,11.98,4.23,2.6,0.2,40.84,105.44, 
10.52,13.16,4.85,3.15,0.2,40.84,105.62, 
11.03,14.36,6.35,4.29,0.21,40.84,105.8, 
11.08,14.99,7.04,4.89,0.22,40.84,105.98, 
11.12,15.6,6.7,4.76,0.22,40.84,106.16, 
11.75,17.66,7.11,5.52,0.24,40.84,106.33, 
12.8,20.76,7.87,6.54,0.27,40.84,106.51, 
19.12,33.11,11.41,10.14,0.39,40.83,106.69, 
34.91,61.85,20.81,19.95,0.69,40.83,106.87, 
55.86,98.77,34.57,33.2,1.1,40.83,107.05, 
68.06,122.07,45.36,40.22,1.41,40.83,107.22, 
67.67,125.32,47.34,43.42,1.48,40.82,107.4, 
44.13,83.29,30.51,32.94,0.97,40.82,107.58, 
33.66,61.12,25.55,25.95,0.74,40.82,107.76, 
27.78,47.66,21.85,20.73,0.61,40.81,107.94, 
24.68,40.02,19.24,17.51,0.52,40.81,108.11, 
22.99,36.65,17.41,15.5,0.48,40.8,108.29, 
23.26,38.1,17.67,17.79,0.51,40.8,108.47, 
26.57,45.58,19.33,28.09,0.63,40.8,108.65, 
31.92,56.62,21.34,39.88,0.77,40.79,108.82, 
40.37,74.66,26.11,48.59,1.05,40.79,109, 
46.33,88.12,30.81,52.89,1.3,40.78,109.18, 
55.56,108.32,38.86,58.03,1.63,40.78,109.36, 
67.08,132.49,53.08,64.97,1.97,40.77,109.54, 
75.71,152.21,68.9,73.39,2.28,40.76,109.71, 
75.95,150.63,66.8,72.96,2.14,40.76,109.89, 
65.56,122.11,43.29,63.83,1.54,40.75,110.07, 
64.05,111.16,30.46,57.59,1.23,40.75,110.25, 
64.11,107.98,26.48,56.16,1.14,40.74,110.42, 
62.05,105.98,27.3,58.28,1.17,40.73,110.6, 
61.02,103.9,23.12,57.2,1.13,40.72,110.78, 
63.04,111.09,23.63,59.34,1.23,40.72,110.96, 
65.15,119.66,25.97,60.05,1.35,40.71,111.13, 
66.01,123.72,27.16,60.47,1.39,40.7,111.31, 
64.69,123.79,28.6,61.17,1.44,40.69,111.49, 
62.24,120.87,29.03,62.07,1.5,40.68,111.67, 
54.95,105.5,26.33,57.79,1.3,40.68,111.84, 
45.89,89.29,26.31,50.03,1.06,40.67,112.02, 
42.03,82.47,26.65,44.84,0.94,40.66,112.2, 
41.21,81.45,26.83,43.61,0.94,40.65,112.37, 
40.63,80.91,27.77,44.39,0.96,40.64,112.55, 
40.07,79.96,28.62,44.26,0.97,40.63,112.73, 
40.62,81.51,29.62,44.05,0.99,40.62,112.91, 
45.83,95.19,36.33,48.16,1.22,40.61,113.08, 
51.05,108.27,41.69,48.98,1.46,40.6,113.26, 
51.63,110.32,41.04,49.44,1.56,40.59,113.44, 
49.11,103.53,39.49,47.75,1.41,40.58,113.61, 
48.56,100.88,38.01,45.67,1.31,40.57,113.79, 
48.3,98.86,34.53,43.22,1.2,40.56,113.97, 
48.17,97.05,28.26,41.3,1.11,40.54,114.14, 
48.29,94.92,23,38.98,1.01,40.53,114.32, 
48.57,93.19,18.77,35.44,0.95,40.52,114.5, 
48.39,90.03,15.69,34.07,0.88,40.51,114.67, 
53.95,97.67,12.95,40.43,0.93,40.5,114.85, 
60.38,107.14,10.24,47.87,1.04,40.48,115.03, 
62.64,106.97,9.22,50.49,1,40.47,115.2, 
64.77,107.07,8.74,52.07,0.98,40.46,115.38, 
68,109.36,8.41,54.29,0.99,40.45,115.55, 
74.45,116.58,7.86,57.3,1.06,40.43,115.73, 
78.45,121.2,7.7,59.33,1.11,40.42,115.91, 
77.44,119.37,7.81,59.49,1.14,40.4,116.08, 
72.84,112.21,7.77,59.34,1.12,40.39,116.26, 
70.58,109.98,7.97,59.85,1.14,40.38,116.43, 
95.9,150.43,9.35,63.33,1.58,40.36,116.61, 
93.95,153.72,10.42,61.04,1.69,40.35,116.79, 
86.25,145.25,11.01,61.22,1.66,40.33,116.96, 
79.35,137.62,11.42,60.61,1.6,40.32,117.14, 
75.17,135.49,12.1,58.49,1.56,40.3,117.31, 
73.17,137.76,13.88,58.51,1.63,40.28,117.49, 
74.72,147.05,17.53,60.03,1.86,40.27,117.66, 
82.54,168.02,23.42,60.63,2.27,40.25,117.84, 
80.1,164.45,25.56,59.11,2.19,40.24,118.02, 
74.86,154.32,29.12,58.53,2.11,40.22,118.19, 
75.66,154.54,30.27,57.06,2.12,40.2,118.37, 
77.19,158.72,31.87,55.77,2.2,40.19,118.54, 
68.04,136.87,25.43,51.58,1.83,40.17,118.72, 
58.64,113.51,19.38,46.09,1.45,40.15,118.89, 
51.52,97.07,17.13,42.25,1.25,40.13,119.07, 
48.11,88.87,16.48,41.21,1.17,40.12,119.24, 
47.41,87.08,16.84,41.98,1.15,40.1,119.42, 
49.88,92.75,21.05,47.54,1.29,40.08,119.59, 
46.85,86.88,20.11,44.28,1.16,40.06,119.76, 
37.9,66.61,15.18,27.35,0.72,39.84,121.68, 
39.48,71.8,14.64,28.82,0.8,39.82,121.85, 
38.74,70.45,14.54,28.85,0.8,39.8,122.03, 
36.44,64,12.9,25.97,0.75,39.78,122.2, 
34.94,58.83,10.99,22.43,0.7,39.76,122.37, 
34.62,57.62,11.71,23.29,0.72,39.73,122.55, 
35.06,57.19,13.58,25.08,0.74,39.71,122.72, 
31.54,47.74,14.01,23.19,0.64,39.69,122.89, 
0.09,0.13,0.04,0.31,0.15,37.68,75.07, 
0.13,0.22,0.06,0.38,0.16,37.71,75.23, 
0.2,0.35,0.17,0.56,0.17,37.75,75.39, 
0.21,0.38,0.2,0.6,0.17,37.79,75.56, 
0.4,0.61,0.16,0.59,0.18,37.82,75.72, 
2.51,3.76,0.17,0.66,0.19,37.86,75.89, 
6.91,10.1,0.25,0.76,0.2,37.9,76.06, 
10.61,15.1,0.34,0.82,0.21,37.93,76.22, 
15.35,18.4,0.51,0.96,0.22,37.97,76.39, 
22.85,27.07,0.64,1.21,0.32,38.01,76.55, 
32.99,45.48,0.81,1.81,0.87,38.04,76.72, 
50.47,76.14,1.46,2.95,2.38,38.08,76.88, 
63.09,101.01,3.23,5.86,5.04,38.11,77.05, 
65.56,105.34,6.94,10.61,7.55,38.15,77.22, 
48.74,74.35,7.37,10.12,5.1,38.18,77.38, 
27.59,37.36,3.43,4.03,1.18,38.22,77.55, 
30.52,35.25,2.08,2.15,0.4,38.25,77.72, 
51.1,53.93,1.77,1.61,0.26,38.29,77.88, 
76.04,78.15,1.77,1.44,0.23,38.32,78.05, 
104.76,106.29,1.7,1.29,0.22,38.35,78.22, 
122.31,123.38,1.58,1.14,0.22,38.39,78.38, 
139.38,140.18,1.51,1.04,0.24,38.42,78.55, 
153.61,154.58,1.49,0.98,0.25,38.45,78.72, 
165.87,167.06,1.51,0.94,0.28,38.49,78.89, 
175.05,176.47,1.55,0.94,0.3,38.52,79.05, 
180.65,182.27,1.61,0.96,0.32,38.55,79.22, 
185.92,187.66,1.66,0.98,0.34,38.58,79.39, 
198.21,200.06,1.71,1,0.35,38.62,79.56, 
217.79,219.64,1.74,0.99,0.35,38.65,79.73, 
242.17,243.91,1.75,0.97,0.34,38.68,79.9, 
268.64,270.16,1.73,0.94,0.33,38.71,80.06, 
300.62,301.89,1.7,0.97,0.3,38.74,80.23, 
330.88,331.95,1.66,0.98,0.28,38.77,80.4, 
325.39,326.33,1.65,0.91,0.25,38.81,80.57, 
304.66,305.52,1.66,0.87,0.24,38.84,80.74, 
282.97,283.79,1.68,0.83,0.23,38.87,80.91, 
278.13,278.89,1.68,0.78,0.22,38.9,81.08, 
285.38,286.11,1.66,0.74,0.21,38.93,81.25, 
284.65,285.36,1.64,0.71,0.21,38.96,81.42, 
288.43,289.06,1.59,0.66,0.2,38.99,81.59, 
297.92,298.53,1.55,0.63,0.19,39.02,81.76, 
309.56,310.15,1.5,0.61,0.19,39.05,81.93, 
325.45,326.02,1.46,0.59,0.19,39.07,82.1, 
340.55,341.1,1.42,0.57,0.19,39.1,82.27, 
349.31,349.84,1.38,0.55,0.19,39.13,82.44, 
348.43,348.94,1.34,0.52,0.18,39.16,82.61, 
339.6,340.09,1.31,0.5,0.18,39.19,82.78, 
319.82,320.3,1.3,0.48,0.18,39.22,82.95, 
290.46,290.93,1.29,0.48,0.18,39.24,83.12, 
262.73,263.19,1.29,0.51,0.18,39.27,83.29, 
246.29,246.74,1.29,0.54,0.18,39.3,83.46, 
237.41,237.85,1.26,0.56,0.18,39.33,83.63, 
226.6,227.02,1.23,0.56,0.18,39.35,83.8, 
211.69,212.1,1.21,0.54,0.18,39.38,83.98, 
189.92,190.34,1.19,0.5,0.18,39.41,84.15, 
161.05,161.46,1.18,0.46,0.18,39.43,84.32, 
124.54,124.94,1.15,0.41,0.18,39.46,84.49, 
103.15,103.53,1.1,0.36,0.18,39.48,84.66, 
94.71,95.07,1.05,0.32,0.18,39.51,84.83, 
83.92,84.27,1.03,0.31,0.18,39.53,85.01, 
62.26,62.61,1.05,0.32,0.17,39.56,85.18, 
40.17,40.52,1.09,0.35,0.18,39.58,85.35, 
29.66,30.01,1.1,0.36,0.17,39.61,85.52, 
23.4,23.74,1.08,0.36,0.17,39.63,85.69, 
18.7,19.02,1.07,0.36,0.17,39.66,85.87, 
15.33,15.65,1.07,0.36,0.17,39.68,86.04, 
12.85,13.16,1.07,0.37,0.17,39.71,86.21, 
11.43,11.73,1.08,0.38,0.17,39.73,86.39, 
10.67,10.96,1.1,0.41,0.17,39.75,86.56, 
10.47,10.76,1.1,0.41,0.17,39.78,86.73, 
9.98,10.26,1.09,0.4,0.17,39.8,86.9, 
9.21,9.49,1.07,0.4,0.17,39.82,87.08, 
8.67,8.93,1.07,0.41,0.17,39.84,87.25, 
8.42,8.66,1.06,0.42,0.17,39.87,87.42, 
7.88,8.1,1.03,0.42,0.17,39.89,87.6, 
8.14,8.36,1.04,0.44,0.17,39.91,87.77, 
8.59,8.81,1.06,0.46,0.17,39.93,87.94, 
9.07,9.29,1.07,0.49,0.17,39.95,88.12, 
9.8,10.02,1.1,0.6,0.17,39.98,88.29, 
10.86,11.08,1.13,0.64,0.17,40,88.47, 
11.88,12.1,1.16,0.59,0.17,40.02,88.64, 
12.47,12.7,1.18,0.57,0.17,40.04,88.81, 
12.4,12.63,1.2,0.55,0.17,40.06,88.99, 
11.53,11.77,1.2,0.51,0.17,40.08,89.16, 
10.79,11.03,1.18,0.47,0.17,40.1,89.34, 
10.99,11.23,1.17,0.45,0.17,40.12,89.51, 
11.29,11.54,1.17,0.43,0.17,40.14,89.69, 
11.49,11.73,1.17,0.41,0.17,40.16,89.86, 
11.5,11.73,1.15,0.38,0.17,40.18,90.04, 
11.46,11.69,1.11,0.35,0.17,40.19,90.21, 
11.66,11.88,1.06,0.31,0.17,40.21,90.39, 
12.08,12.29,1.01,0.27,0.17,40.23,90.56, 
12.25,12.44,0.96,0.25,0.17,40.25,90.74, 
12.19,12.38,0.94,0.24,0.16,40.27,90.91, 
12.49,12.67,0.93,0.24,0.16,40.28,91.09, 
12.72,12.9,0.92,0.24,0.16,40.3,91.26, 
12.83,13,0.91,0.23,0.16,40.32,91.44, 
12.92,13.08,0.9,0.22,0.16,40.34,91.61, 
12.9,13.06,0.89,0.22,0.16,40.35,91.79, 
12.98,13.14,0.89,0.22,0.16,40.37,91.96, 
13.08,13.23,0.88,0.22,0.16,40.39,92.14, 
13.15,13.3,0.87,0.23,0.16,40.4,92.31, 
13.3,13.45,0.86,0.23,0.16,40.42,92.49, 
13.56,13.7,0.85,0.24,0.16,40.43,92.67, 
14.1,14.25,0.85,0.26,0.16,40.45,92.84, 
14.8,14.95,0.85,0.3,0.16,40.47,93.02, 
13.71,13.87,0.86,0.36,0.16,40.48,93.19, 
12.22,12.38,0.87,0.4,0.16,40.49,93.37, 
11.5,11.66,0.87,0.44,0.16,40.51,93.55, 
10.9,11.07,0.87,0.41,0.16,40.52,93.72, 
10.72,10.89,0.87,0.38,0.16,40.54,93.9, 
10.65,10.83,0.87,0.35,0.16,40.55,94.08, 
10.54,10.73,0.88,0.33,0.16,40.57,94.25, 
10.37,10.55,0.88,0.32,0.16,40.58,94.43, 
9.88,10.07,0.86,0.32,0.16,40.59,94.6, 
9.46,9.66,0.85,0.34,0.16,40.61,94.78, 
8.68,8.89,0.84,0.41,0.16,40.62,94.96, 
7.31,7.53,0.84,0.64,0.16,40.63,95.13, 
5.7,5.92,0.82,0.61,0.16,40.64,95.31, 
4.77,5,0.84,0.69,0.16,40.66,95.49, 
3.95,4.23,0.95,0.92,0.16,40.67,95.67, 
3.77,4.11,1.13,1.18,0.17,40.68,95.84, 
3.64,3.96,1.09,1.13,0.17,40.69,96.02, 
3.51,3.87,1,1.06,0.16,40.7,96.2, 
3.32,3.63,0.93,0.99,0.16,40.71,96.37, 
3.27,3.56,0.9,0.96,0.16,40.72,96.55, 
3.26,3.49,0.87,0.92,0.16,40.73,96.73, 
3.24,3.42,0.85,0.87,0.16,40.74,96.9, 
3.15,3.32,0.82,0.74,0.16,40.75,97.08, 
3.09,3.26,0.8,0.68,0.16,40.76,97.26, 
3.06,3.23,0.79,0.64,0.16,40.77,97.44, 
3.08,3.25,0.79,0.63,0.16,40.78,97.61, 
3.17,3.38,0.81,0.65,0.16,40.79,97.79, 
3.35,3.64,0.84,0.68,0.16,40.8,97.97, 
3.67,4.02,0.94,0.79,0.16,40.81,98.15, 
4.04,4.4,1.1,0.99,0.17,40.82,98.32, 
4.41,4.74,1.29,1.28,0.17,40.83,98.5, 
4.67,4.93,1.46,1.5,0.17,40.84,98.68, 
4.8,5.04,1.61,1.6,0.17,40.84,98.86, 
4.73,5.01,1.67,1.57,0.17,40.85,99.03, 
4.59,4.94,1.72,1.57,0.17,40.86,99.21, 
4.46,4.9,1.8,1.64,0.17,40.87,99.39, 
4.46,5.03,1.91,1.69,0.17,40.87,99.57, 
4.68,5.34,2.02,1.74,0.17,40.88,99.75, 
5,5.72,2.17,1.82,0.17,40.89,99.92, 
5.5,6.28,2.75,2.18,0.17,40.89,100.1, 
7.68,8.46,2.76,2.17,0.17,40.9,100.28, 
8.4,9.13,2.74,2.12,0.17,40.9,100.46, 
10.58,11.27,2.71,2.04,0.17,40.91,100.63, 
11.91,12.62,2.69,2.01,0.17,40.92,100.81, 
12.55,13.26,2.66,1.98,0.17,40.92,100.99, 
11.9,12.61,2.61,1.93,0.17,40.93,101.17, 
12.1,12.82,2.56,1.91,0.17,40.93,101.35, 
10.98,11.7,2.55,1.92,0.17,40.93,101.53, 
10.48,11.18,2.53,1.87,0.17,40.94,101.7, 
10.41,11.09,2.54,1.81,0.17,40.94,101.88, 
10.3,10.98,2.58,1.77,0.17,40.95,102.06, 
10.24,10.95,2.65,1.75,0.18,40.95,102.24, 
10.53,11.3,2.75,1.75,0.18,40.95,102.42, 
10.94,11.77,2.81,1.73,0.18,40.96,102.59, 
11.14,12,2.83,1.7,0.18,40.96,102.77, 
11.22,12.11,2.85,1.67,0.18,40.96,102.95, 
11.11,12.02,2.85,1.64,0.18,40.97,103.13, 
11,11.91,2.83,1.59,0.18,40.97,103.31, 
10.8,11.7,2.78,1.54,0.18,40.97,103.48, 
10.37,11.24,2.72,1.48,0.18,40.97,103.66, 
9.99,10.85,2.66,1.46,0.18,40.97,103.84, 
9.61,10.45,2.63,1.44,0.18,40.97,104.02, 
9.31,10.14,2.66,1.47,0.18,40.98,104.2, 
9.03,9.86,2.69,1.51,0.18,40.98,104.38, 
8.93,9.77,2.76,1.53,0.18,40.98,104.55, 
8.93,9.98,2.85,1.57,0.18,40.98,104.73, 
8.87,9.98,2.99,1.63,0.18,40.98,104.91, 
8.86,10.07,3.19,1.79,0.18,40.98,105.09, 
8.96,10.39,3.46,1.98,0.19,40.98,105.27, 
9.27,11.02,3.84,2.31,0.19,40.98,105.45, 
9.82,12.04,4.44,2.82,0.2,40.98,105.62, 
10.52,13.37,5.93,3.98,0.21,40.98,105.8, 
10.72,14.1,6.71,4.61,0.21,40.97,105.98, 
10.8,14.67,6.51,4.48,0.22,40.97,106.16, 
11.42,16.44,6.84,5.05,0.23,40.97,106.34, 
12.19,18.68,7.19,5.68,0.25,40.97,106.52, 
16.98,27.62,9.11,7.98,0.34,40.97,106.69, 
27.69,46.27,14.48,14.06,0.55,40.97,106.87, 
52.92,89.66,30.36,30.69,1.05,40.96,107.05, 
64.97,112.47,38.03,38.59,1.31,40.96,107.23, 
66.22,116.68,38.24,41.22,1.39,40.96,107.41, 
47.02,82.48,24.41,29.54,0.98,40.95,107.58, 
38.75,66.5,22.95,25.44,0.81,40.95,107.76, 
32.56,53.49,20.66,21.32,0.68,40.95,107.94, 
29.21,45.86,18.78,18.38,0.6,40.94,108.12, 
26.57,40.96,16.74,16.26,0.53,40.94,108.3, 
26.17,41.22,16.81,18.37,0.54,40.93,108.47, 
28.03,46.41,18.13,27.57,0.63,40.93,108.65, 
27.81,48.36,18.01,35.4,0.64,40.93,108.83, 
38.32,69.75,25.06,47.09,1,40.92,109.01, 
43.27,81.37,29.41,51.71,1.22,40.92,109.19, 
51.46,99.34,36.9,56.75,1.51,40.91,109.37, 
61.35,120.4,49.66,62.85,1.79,40.9,109.54, 
65.41,129.81,58.63,69.09,1.9,40.9,109.72, 
63.72,123.74,52.89,68.48,1.71,40.89,109.9, 
57.61,105.11,36.47,61.15,1.32,40.89,110.08, 
55.14,95.11,27.33,54.55,1.09,40.88,110.25, 
53.66,90.36,23.92,52.79,1,40.87,110.43, 
52.24,89.02,24.35,54.61,1.01,40.87,110.61, 
53.04,90.19,22.18,54.2,1,40.86,110.79, 
53.79,93.8,22.08,56.66,1.05,40.85,110.97, 
57.71,106.35,25.25,60.81,1.25,40.84,111.14, 
63.56,123.2,31.1,64.45,1.52,40.84,111.32, 
81.81,166.78,47.98,69.92,2.39,40.83,111.5, 
74.64,148.27,37.4,70.05,2.23,40.82,111.68, 
54.44,100.14,23.04,59.31,1.34,40.81,111.85, 
42.6,78.22,22.03,49.86,1.03,40.8,112.03, 
39.67,74.54,23.33,44.75,0.94,40.79,112.21, 
39.25,74.59,24.29,42.97,0.92,40.78,112.39, 
39.34,75.67,25.96,44.43,0.95,40.77,112.56, 
38.84,75.07,26.47,43.76,0.95,40.76,112.74, 
39.13,76.43,27.24,42.8,0.95,40.75,112.92, 
42.78,87.07,31.72,46.57,1.08,40.74,113.1, 
48.28,102.47,37.85,48.7,1.31,40.73,113.27, 
48.96,104.91,38.84,48.95,1.38,40.72,113.45, 
47.13,99.45,38.61,47.69,1.3,40.71,113.63, 
47.2,98.74,38.31,46.1,1.25,40.7,113.8, 
47.63,99.17,35.38,43.61,1.2,40.69,113.98, 
47.99,98.64,27.75,41.39,1.1,40.68,114.16, 
48.23,100.17,22.83,40.81,1.08,40.67,114.33, 
47.76,99.88,17.93,39.62,1.09,40.66,114.51, 
50.24,98.96,15.56,42.59,1.02,40.64,114.69, 
53.25,102.48,13.46,47.51,1.04,40.63,114.87, 
53.44,100.05,10.72,48.26,1.03,40.62,115.04, 
55.33,96.85,9.44,45.16,0.95,40.61,115.22, 
57.17,94.93,8.01,44.91,0.88,40.59,115.4, 
60.62,97.43,7.88,48.24,0.89,40.58,115.57, 
67.04,104.43,7.31,52.01,0.96,40.57,115.75, 
68.97,105.91,7.45,54.33,1.01,40.55,115.92, 
70.49,108.91,7.56,55.75,1.08,40.54,116.1, 
64.95,100.27,7.39,54.76,1.04,40.52,116.28, 
64.32,100.44,7.51,54.67,1.08,40.51,116.45, 
81.6,127.74,8.77,56.71,1.4,40.49,116.63, 
79.8,129.97,9.56,55.58,1.48,40.48,116.81, 
68.56,117.32,10.21,57.64,1.36,40.47,116.98, 
